t_adx,t_cci,x_thr,t_max,r_max,r_min,mean,sd
5,10,0.4,100,0.1,-0.5,0.0222096992335467,0.135884433714492
5,10,0.4,105,0.1,-0.5,0.0236586115427529,0.136024050671146
5,10,0.4,110,0.1,-0.5,0.0249160658630988,0.136570271291619
5,10,0.4,115,0.1,-0.5,0.0258129354745104,0.137513918709551
5,10,0.4,120,0.1,-0.5,0.0258002145789526,0.139294433077453
5,10,0.45,100,0.1,-0.5,0.022242890752733,0.135960343265476
5,10,0.45,105,0.1,-0.5,0.02370195998193,0.136087274224593
5,10,0.45,110,0.1,-0.5,0.0249552756795281,0.136645679180499
5,10,0.45,115,0.1,-0.5,0.0258367122520623,0.137576273372371
5,10,0.45,120,0.1,-0.5,0.0258089581313064,0.139375875654053
5,10,0.5,100,0.1,-0.5,0.0221788522066038,0.136143721367123
5,10,0.5,105,0.1,-0.5,0.0236553602187229,0.136240544785148
5,10,0.5,110,0.1,-0.5,0.0248866402159554,0.136814739309854
5,10,0.5,115,0.1,-0.5,0.0257329504163396,0.137768805605938
5,10,0.5,120,0.1,-0.5,0.0256622291860257,0.139620399222077
5,10,0.55,100,0.1,-0.5,0.0221647455624571,0.136280846149759
5,10,0.55,105,0.1,-0.5,0.0236294405225637,0.136378534410161
5,10,0.55,110,0.1,-0.5,0.0248497319593111,0.136988006907222
5,10,0.55,115,0.1,-0.5,0.0256532137694303,0.137972620136367
5,10,0.55,120,0.1,-0.5,0.0255576014369878,0.139839818674598
5,10,0.6,100,0.1,-0.5,0.0220541370632817,0.1365313019927
5,10,0.6,105,0.1,-0.5,0.0235242112312973,0.136636016086191
5,10,0.6,110,0.1,-0.5,0.0247380217142638,0.137247078413878
5,10,0.6,115,0.1,-0.5,0.0255486235912069,0.138227355989605
5,10,0.6,120,0.1,-0.5,0.02542587204977,0.140120474237578
5,15,0.4,100,0.1,-0.5,0.0220583854561531,0.131147239777124
5,15,0.4,105,0.1,-0.5,0.0235992822193914,0.131258193103857
5,15,0.4,110,0.1,-0.5,0.0246757039060978,0.132031234024723
5,15,0.4,115,0.1,-0.5,0.0252820844759681,0.133255288436884
5,15,0.4,120,0.1,-0.5,0.0252369730777642,0.135125889558488
5,15,0.45,100,0.1,-0.5,0.0221594436094113,0.13104946267435
5,15,0.45,105,0.1,-0.5,0.0237155179911729,0.1311497796382
5,15,0.45,110,0.1,-0.5,0.0247957176805877,0.131909615822499
5,15,0.45,115,0.1,-0.5,0.0253662397444811,0.133159299338446
5,15,0.45,120,0.1,-0.5,0.025307743841715,0.13507745180999
5,15,0.5,100,0.1,-0.5,0.0221779166664761,0.131056258342138
5,15,0.5,105,0.1,-0.5,0.0237498453603939,0.131122882690675
5,15,0.5,110,0.1,-0.5,0.0247830203769126,0.131916336970313
5,15,0.5,115,0.1,-0.5,0.0253004919754832,0.133240094490153
5,15,0.5,120,0.1,-0.5,0.0251992068568393,0.135211373240608
5,15,0.55,100,0.1,-0.5,0.0222194458785775,0.130997198799515
5,15,0.55,105,0.1,-0.5,0.0237595046062577,0.131082151321421
5,15,0.55,110,0.1,-0.5,0.0247930861013333,0.131886100349644
5,15,0.55,115,0.1,-0.5,0.0252504597939537,0.133255880013787
5,15,0.55,120,0.1,-0.5,0.0250952275528568,0.135289880329644
5,15,0.6,100,0.1,-0.5,0.0221837973326874,0.131097587103685
5,15,0.6,105,0.1,-0.5,0.0237390466676951,0.131188326630749
5,15,0.6,110,0.1,-0.5,0.0247427153896849,0.132037918079844
5,15,0.6,115,0.1,-0.5,0.0251494045293356,0.133465925194621
5,15,0.6,120,0.1,-0.5,0.0249673619841761,0.135521411015884
5,20,0.4,100,0.1,-0.5,0.0224226812540222,0.130612160583301
5,20,0.4,105,0.1,-0.5,0.0237941427630516,0.130969271560898
5,20,0.4,110,0.1,-0.5,0.024587484355123,0.132057623751465
5,20,0.4,115,0.1,-0.5,0.0251434328352479,0.133313779479087
5,20,0.4,120,0.1,-0.5,0.0250453932789091,0.135273219895382
5,20,0.45,100,0.1,-0.5,0.0225931187383646,0.130469135219585
5,20,0.45,105,0.1,-0.5,0.0239730067472104,0.130820933926364
5,20,0.45,110,0.1,-0.5,0.0247824663741716,0.131888535955864
5,20,0.45,115,0.1,-0.5,0.0252823018707115,0.133205984390863
5,20,0.45,120,0.1,-0.5,0.0251474849937526,0.135222847075891
5,20,0.5,100,0.1,-0.5,0.0225697404787735,0.130422632174933
5,20,0.5,105,0.1,-0.5,0.0239450810296986,0.130775484787085
5,20,0.5,110,0.1,-0.5,0.0247136438203239,0.131888497315274
5,20,0.5,115,0.1,-0.5,0.02516359689217,0.133297451929773
5,20,0.5,120,0.1,-0.5,0.0249880625565664,0.135372333656338
5,20,0.55,100,0.1,-0.5,0.022732445076577,0.130332840176788
5,20,0.55,105,0.1,-0.5,0.0241095715905338,0.130667386778501
5,20,0.55,110,0.1,-0.5,0.0248487058507765,0.131790573920628
5,20,0.55,115,0.1,-0.5,0.0252965095626399,0.13319068635116
5,20,0.55,120,0.1,-0.5,0.0250579502451805,0.13533053337909
5,20,0.6,100,0.1,-0.5,0.0227590942500438,0.130417762128231
5,20,0.6,105,0.1,-0.5,0.0241564228818124,0.130729133407822
5,20,0.6,110,0.1,-0.5,0.0248462882224143,0.131901307130588
5,20,0.6,115,0.1,-0.5,0.0252385570794994,0.133359640231044
5,20,0.6,120,0.1,-0.5,0.0249615999077498,0.135547703585337
5,25,0.4,100,0.1,-0.5,0.0229542162909962,0.130134362218796
5,25,0.4,105,0.1,-0.5,0.024128364745155,0.13077239761854
5,25,0.4,110,0.1,-0.5,0.0249217757816014,0.131857473553365
5,25,0.4,115,0.1,-0.5,0.0253508101529589,0.133284987456349
5,25,0.4,120,0.1,-0.5,0.0252883601026226,0.135198065747768
5,25,0.45,100,0.1,-0.5,0.0230252527053687,0.129971340330966
5,25,0.45,105,0.1,-0.5,0.0242184513484315,0.130582465517813
5,25,0.45,110,0.1,-0.5,0.0250014871993916,0.13168949248224
5,25,0.45,115,0.1,-0.5,0.0253565969466374,0.133198011920972
